program,warnings,unused,unreachable,conversion,cluster
test_503.c,1,2,0,0,3
test_767.c,0,0,0,0,0
test_571.c,1,2,0,0,3
test_217.c,1,0,0,2,2
test_843.c,1,0,0,2,2
test_358.c,1,0,0,2,2
test_995.c,1,0,0,2,2
test_895.c,0,0,0,0,0
test_827.c,0,0,0,0,0
test_224.c,1,4,0,0,1
test_824.c,1,0,0,2,2
test_29.c,1,4,0,0,1
test_806.c,1,2,0,0,3
test_867.c,1,0,0,2,2
test_959.c,0,0,0,0,0
test_349.c,1,0,0,2,2
test_147.c,0,0,0,0,0
test_938.c,1,0,0,2,2
test_769.c,1,4,0,0,1
test_81.c,1,0,0,2,2
test_30.c,0,0,0,0,0
test_345.c,1,4,0,0,1
test_798.c,1,0,0,2,2
test_831.c,0,0,0,0,0
test_991.c,1,4,0,0,1
test_746.c,1,4,0,0,1
test_328.c,1,2,0,0,3
test_956.c,0,0,0,0,0
test_917.c,1,2,0,0,3
test_762.c,1,2,0,0,3
test_434.c,0,0,0,0,0
test_155.c,1,0,0,2,2
test_246.c,1,0,0,2,2
test_773.c,0,0,0,0,0
test_667.c,1,0,0,2,2
test_124.c,0,0,0,0,0
test_564.c,1,0,0,2,2
test_780.c,0,0,0,0,0
test_674.c,1,2,0,0,3
test_230.c,1,2,0,0,3
test_596.c,1,4,0,0,1
test_766.c,1,4,0,0,1
test_864.c,0,0,0,0,0
test_111.c,0,0,0,0,0
test_436.c,0,0,0,0,0
test_226.c,0,0,0,0,0
test_874.c,1,4,0,0,1
test_935.c,0,0,0,0,0
test_605.c,1,0,0,2,2
test_106.c,0,0,0,0,0
test_987.c,0,0,0,0,0
test_609.c,0,0,0,0,0
test_363.c,1,2,0,0,3
test_448.c,1,2,0,0,3
test_139.c,1,4,0,0,1
test_531.c,1,2,0,0,3
test_179.c,1,2,0,0,3
test_677.c,1,2,0,0,3
test_56.c,0,0,0,0,0
test_933.c,1,2,0,0,3
test_68.c,0,0,0,0,0
test_670.c,0,0,0,0,0
test_429.c,0,0,0,0,0
test_692.c,1,0,0,2,2
test_863.c,1,4,0,0,1
test_136.c,0,0,0,0,0
test_786.c,0,0,0,0,0
test_143.c,1,0,0,2,2
test_385.c,0,0,0,0,0
test_306.c,1,2,0,0,3
test_809.c,1,4,0,0,1
test_8.c,1,2,0,0,3
test_268.c,1,4,0,0,1
test_331.c,1,4,0,0,1
test_949.c,0,0,0,0,0
test_908.c,1,0,0,2,2
test_365.c,1,4,0,0,1
test_489.c,0,0,0,0,0
test_646.c,1,0,0,2,2
test_637.c,1,2,0,0,3
test_950.c,1,2,0,0,3
test_633.c,1,4,0,0,1
test_789.c,0,0,0,0,0
test_213.c,0,0,0,0,0
test_918.c,1,4,0,0,1
test_645.c,1,2,0,0,3
test_157.c,1,2,0,0,3
test_980.c,0,0,0,0,0
test_659.c,1,4,0,0,1
test_66.c,0,0,0,0,0
test_154.c,0,0,0,0,0
test_563.c,1,0,0,2,2
test_218.c,0,0,0,0,0
test_990.c,1,2,0,0,3
test_13.c,1,4,0,0,1
test_673.c,0,0,0,0,0
test_351.c,0,0,0,0,0
test_90.c,1,4,0,0,1
test_952.c,1,0,0,2,2
test_222.c,0,0,0,0,0
test_526.c,0,0,0,0,0
test_753.c,0,0,0,0,0
test_502.c,0,0,0,0,0
test_591.c,0,0,0,0,0
test_15.c,1,4,0,0,1
test_970.c,0,0,0,0,0
test_478.c,0,0,0,0,0
test_832.c,0,0,0,0,0
test_775.c,1,0,0,2,2
test_333.c,1,4,0,0,1
test_464.c,1,0,0,2,2
test_730.c,1,2,0,0,3
test_592.c,0,0,0,0,0
test_788.c,1,2,0,0,3
test_477.c,0,0,0,0,0
test_520.c,0,0,0,0,0
test_449.c,0,0,0,0,0
test_486.c,1,2,0,0,3
test_694.c,1,0,0,2,2
test_702.c,0,0,0,0,0
test_87.c,0,0,0,0,0
test_236.c,1,0,0,2,2
test_644.c,0,0,0,0,0
test_856.c,1,4,0,0,1
test_797.c,0,0,0,0,0
test_390.c,0,0,0,0,0
test_109.c,0,0,0,0,0
test_39.c,1,0,0,2,2
test_707.c,1,2,0,0,3
test_932.c,0,0,0,0,0
test_442.c,0,0,0,0,0
test_629.c,0,0,0,0,0
test_616.c,1,0,0,2,2
test_264.c,1,0,0,2,2
